codepoint,status,emoji,name,group,sub_group
1F3CB FE0F 200D 2642 FE0F,fully-qualified,🏋️‍♂️,man lifting weights,People & Body,person-sport
1F3CB 200D 2642 FE0F,unqualified,🏋‍♂️,man lifting weights,People & Body,person-sport
1F3CB FE0F 200D 2642,unqualified,🏋️‍♂,man lifting weights,People & Body,person-sport
1F3CB 200D 2642,unqualified,🏋‍♂,man lifting weights,People & Body,person-sport
1F3CB 1F3FB 200D 2642 FE0F,fully-qualified,🏋🏻‍♂️,man lifting weights: light skin tone,People & Body,person-sport
1F3CB 1F3FB 200D 2642,minimally-qualified,🏋🏻‍♂,man lifting weights: light skin tone,People & Body,person-sport
1F3CB 1F3FC 200D 2642 FE0F,fully-qualified,🏋🏼‍♂️,man lifting weights: medium-light skin tone,People & Body,person-sport
1F3CB 1F3FC 200D 2642,minimally-qualified,🏋🏼‍♂,man lifting weights: medium-light skin tone,People & Body,person-sport
1F3CB 1F3FD 200D 2642 FE0F,fully-qualified,🏋🏽‍♂️,man lifting weights: medium skin tone,People & Body,person-sport
1F3CB 1F3FD 200D 2642,minimally-qualified,🏋🏽‍♂,man lifting weights: medium skin tone,People & Body,person-sport
1F3CB 1F3FE 200D 2642 FE0F,fully-qualified,🏋🏾‍♂️,man lifting weights: medium-dark skin tone,People & Body,person-sport
1F3CB 1F3FE 200D 2642,minimally-qualified,🏋🏾‍♂,man lifting weights: medium-dark skin tone,People & Body,person-sport
1F3CB 1F3FF 200D 2642 FE0F,fully-qualified,🏋🏿‍♂️,man lifting weights: dark skin tone,People & Body,person-sport
1F3CB 1F3FF 200D 2642,minimally-qualified,🏋🏿‍♂,man lifting weights: dark skin tone,People & Body,person-sport
1F3CB FE0F 200D 2640 FE0F,fully-qualified,🏋️‍♀️,woman lifting weights,People & Body,person-sport
1F3CB 200D 2640 FE0F,unqualified,🏋‍♀️,woman lifting weights,People & Body,person-sport
1F3CB FE0F 200D 2640,unqualified,🏋️‍♀,woman lifting weights,People & Body,person-sport
1F3CB 200D 2640,unqualified,🏋‍♀,woman lifting weights,People & Body,person-sport
1F3CB 1F3FB 200D 2640 FE0F,fully-qualified,🏋🏻‍♀️,woman lifting weights: light skin tone,People & Body,person-sport
1F3CB 1F3FB 200D 2640,minimally-qualified,🏋🏻‍♀,woman lifting weights: light skin tone,People & Body,person-sport
1F3CB 1F3FC 200D 2640 FE0F,fully-qualified,🏋🏼‍♀️,woman lifting weights: medium-light skin tone,People & Body,person-sport
1F3CB 1F3FC 200D 2640,minimally-qualified,🏋🏼‍♀,woman lifting weights: medium-light skin tone,People & Body,person-sport
1F3CB 1F3FD 200D 2640 FE0F,fully-qualified,🏋🏽‍♀️,woman lifting weights: medium skin tone,People & Body,person-sport
1F3CB 1F3FD 200D 2640,minimally-qualified,🏋🏽‍♀,woman lifting weights: medium skin tone,People & Body,person-sport
1F3CB 1F3FE 200D 2640 FE0F,fully-qualified,🏋🏾‍♀️,woman lifting weights: medium-dark skin tone,People & Body,person-sport
1F3CB 1F3FE 200D 2640,minimally-qualified,🏋🏾‍♀,woman lifting weights: medium-dark skin tone,People & Body,person-sport
1F3CB 1F3FF 200D 2640 FE0F,fully-qualified,🏋🏿‍♀️,woman lifting weights: dark skin tone,People & Body,person-sport
1F3CB 1F3FF 200D 2640,minimally-qualified,🏋🏿‍♀,woman lifting weights: dark skin tone,People & Body,person-sport
1F6B4,fully-qualified,🚴,person biking,People & Body,person-sport
1F6B4 1F3FB,fully-qualified,🚴🏻,person biking: light skin tone,People & Body,person-sport
1F6B4 1F3FC,fully-qualified,🚴🏼,person biking: medium-light skin tone,People & Body,person-sport
1F6B4 1F3FD,fully-qualified,🚴🏽,person biking: medium skin tone,People & Body,person-sport
1F6B4 1F3FE,fully-qualified,🚴🏾,person biking: medium-dark skin tone,People & Body,person-sport
1F6B4 1F3FF,fully-qualified,🚴🏿,person biking: dark skin tone,People & Body,person-sport
1F6B4 200D 2642 FE0F,fully-qualified,🚴‍♂️,man biking,People & Body,person-sport
